NumDots,SubdomainLevel,PathLevel,UrlLength,NumDashInHostname,AtSymbol,NumUnderscore,NumPercent,NumAmpersand,NumHash,NumNumericChars,NoHttps,PathLength,IpAddress,TildeSymbol,HostnameLength,DoubleSlashInPath,QueryLength,NumQueryComponents,FrequentDomainNameMismatch,NumSensitiveWords,NumDash,DomainInSubdomains,DomainInPaths,HttpsInHostname,RatioNum2Let,noOfBrackets,NonASCIIChar,RatioSubdomain2Domain,ExeSubdomain,Label
3,2,2,55,0,0,0,0,0,0,0,0,34,0,0,13,0,0,1,1,1,2,0,0,0,0.0,0,0,0.2,0,0
3,2,1,50,0,0,0,0,0,0,0,0,12,0,0,30,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0454545454545454,0,0
2,2,2,51,0,0,0,0,0,0,0,0,18,0,0,25,0,0,1,1,2,0,0,0,0,0.0,0,0,0.0588235294117647,0,0
3,2,2,67,0,0,0,0,0,0,4,0,37,0,0,22,0,0,1,1,1,2,0,0,0,0.0754716981132075,0,0,0.0714285714285714,0,0
2,2,2,38,0,0,0,0,0,0,0,0,14,0,0,16,0,0,1,1,1,0,0,0,0,0.0,0,0,0.125,0,0
2,2,2,38,0,0,0,0,0,0,0,0,16,0,0,14,0,0,1,1,1,1,0,0,0,0.0,0,0,0.1666666666666666,0,0
2,2,1,63,1,0,0,0,0,0,0,0,34,0,0,21,0,0,1,1,1,3,0,0,0,0.0,0,0,0.0714285714285714,0,0
2,2,4,123,0,0,0,0,0,0,7,0,95,0,0,20,0,0,1,1,1,9,0,0,0,0.0714285714285714,0,0,0.0769230769230769,0,0
4,3,1,42,0,0,0,0,0,0,0,1,16,0,0,19,0,0,1,1,0,0,0,0,0,0.0,0,0,1.0,0,0
2,2,4,124,0,0,0,0,0,0,8,0,105,0,0,11,0,0,1,1,1,11,0,0,0,0.0833333333333333,0,0,0.3333333333333333,0,0
2,2,2,39,0,0,0,0,0,0,0,0,10,0,0,21,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0769230769230769,0,0
2,2,1,47,0,0,0,0,0,0,0,0,18,0,0,21,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0769230769230769,0,0
2,2,3,50,0,0,0,0,0,0,0,0,27,0,0,15,0,0,1,1,1,2,0,0,0,0.0,0,0,0.125,0,0
4,3,3,55,0,0,0,0,0,0,0,1,31,0,0,17,0,0,1,1,0,0,0,0,0,0.0,0,0,0.4,0,0
2,2,3,53,0,0,0,0,0,0,2,0,32,0,0,13,0,0,1,1,1,3,0,0,0,0.05,0,0,0.1666666666666666,0,0
1,1,1,33,0,0,0,0,0,0,0,1,16,0,0,10,0,0,1,1,0,1,0,0,0,0.0,0,0,0.0,0,0
2,2,2,59,0,0,0,0,0,0,0,0,27,0,0,24,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0625,0,0
2,2,1,41,0,0,0,0,0,0,0,0,10,0,0,23,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0666666666666666,0,0
3,2,1,35,0,0,0,0,0,0,0,0,11,0,0,16,0,0,1,1,1,0,0,0,0,0.0,0,0,0.125,0,0
3,2,1,35,0,0,0,0,0,0,0,0,10,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1111111111111111,0,0
3,2,2,51,0,0,0,0,0,0,0,0,29,0,0,14,0,0,1,1,3,1,0,0,0,0.0,0,0,0.1666666666666666,0,0
3,2,1,44,1,0,0,0,0,0,0,0,11,0,0,25,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0555555555555555,0,0
2,2,5,47,0,0,0,0,0,0,2,0,22,0,0,17,0,0,1,1,1,1,0,0,0,0.0588235294117647,0,0,0.1111111111111111,0,0
2,2,2,45,1,0,0,0,0,0,9,0,17,0,0,20,0,0,1,1,1,1,0,0,0,0.3214285714285714,0,0,0.0909090909090909,0,0
3,2,2,42,1,0,0,0,0,0,0,0,18,0,0,16,0,0,1,1,1,1,0,0,0,0.0,0,0,0.1111111111111111,0,0
3,2,5,77,1,0,0,0,0,0,6,0,49,0,0,20,0,0,1,1,1,3,0,0,0,0.1052631578947368,0,0,0.0769230769230769,0,0
2,1,1,48,0,1,0,0,0,1,0,0,6,0,0,6,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0,0,0
2,2,2,39,0,0,0,0,0,0,0,0,9,0,0,22,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0714285714285714,0,0
2,2,1,38,0,0,0,0,0,0,0,0,1,0,0,29,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0476190476190476,0,0
3,3,2,40,1,0,0,0,0,0,0,0,10,0,0,22,0,0,1,1,1,1,0,0,0,0.0,0,0,1.0,0,0
3,2,2,53,1,0,0,0,0,0,0,0,25,0,0,20,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0769230769230769,0,0
4,3,1,46,0,0,0,0,0,0,0,0,15,0,0,23,0,0,1,1,1,0,0,0,0,0.0,0,0,1.0,0,0
2,2,1,36,0,0,0,0,0,0,0,0,12,0,0,16,0,0,1,1,1,1,0,0,0,0.0,0,0,0.125,0,0
1,1,3,52,0,0,0,0,0,0,0,0,29,0,0,15,0,0,1,1,1,2,0,0,0,0.0,0,0,0.0,0,0
2,2,1,83,1,0,0,0,0,0,0,0,49,0,0,26,0,0,1,1,1,6,0,0,0,0.0,0,0,0.0555555555555555,0,0
2,2,2,50,1,0,0,0,0,0,3,0,16,0,0,26,0,0,1,1,1,2,0,0,0,0.0789473684210526,0,0,0.0555555555555555,0,0
2,2,2,36,1,0,0,0,0,0,0,0,8,0,0,20,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0769230769230769,0,0
2,2,2,83,1,0,0,0,0,0,3,0,55,0,0,20,0,0,1,1,1,8,0,0,0,0.0461538461538461,0,0,0.0833333333333333,0,0
3,2,5,66,0,0,0,0,0,0,0,1,37,0,0,22,0,0,1,1,0,1,0,0,0,0.0,0,0,0.3333333333333333,0,0
2,2,1,19,0,0,0,0,0,0,0,0,1,0,0,10,0,0,1,1,1,0,0,0,0,0.0,0,0,0.3333333333333333,0,0
3,2,2,40,0,0,0,0,0,0,0,0,22,0,0,10,0,0,1,1,1,0,0,0,0,0.0,0,0,0.3333333333333333,0,0
2,2,1,30,0,0,0,0,0,0,0,0,6,0,0,16,0,0,1,1,1,0,0,0,0,0.0,0,0,0.125,0,0
2,2,1,31,0,0,0,0,0,0,0,0,1,0,0,22,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0666666666666666,0,0
2,2,1,28,0,0,0,0,0,0,0,0,1,0,0,19,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0909090909090909,0,0
2,2,1,37,0,0,0,0,0,0,0,0,1,0,0,28,0,0,1,1,1,0,0,0,0,0.0,0,0,0.05,0,0
3,2,1,37,0,0,0,0,0,0,0,0,16,0,0,13,0,0,1,1,1,0,0,0,0,0.0,0,0,0.2,0,0
2,2,2,52,0,0,0,0,0,0,0,0,23,0,0,21,0,0,1,1,1,2,0,0,0,0.0,0,0,0.0769230769230769,0,0
3,2,2,68,0,0,0,0,0,0,0,0,40,0,0,20,0,0,1,1,1,3,0,0,0,0.0,0,0,0.0769230769230769,0,0
2,2,2,33,0,0,0,0,0,0,0,0,10,0,0,15,0,0,1,1,1,1,0,0,0,0.0,0,0,0.1428571428571428,0,0
2,2,1,31,0,0,0,0,0,0,0,0,1,0,0,22,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0714285714285714,0,0
2,2,1,26,0,0,0,0,0,0,0,0,1,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1111111111111111,0,0
3,2,1,43,1,0,0,0,0,0,0,0,12,0,0,23,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0666666666666666,0,0
2,2,2,41,0,0,0,0,0,0,0,0,12,0,0,21,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0769230769230769,0,0
3,3,2,38,0,0,0,0,0,0,6,0,14,0,0,16,0,0,1,1,1,0,0,0,0,0.25,0,0,1.0,0,0
3,3,2,30,0,0,0,0,0,0,0,0,6,0,0,16,0,0,1,1,1,0,0,0,0,0.0,0,0,0.6666666666666666,0,0
3,2,1,85,0,0,0,0,0,0,0,0,53,0,0,24,0,0,1,1,1,6,0,0,0,0.0,0,0,0.0625,0,0
3,2,1,59,0,0,0,0,0,0,0,0,33,0,0,18,0,0,1,1,1,2,0,0,0,0.0,0,0,0.1,0,0
2,2,2,35,0,0,0,0,0,0,0,0,7,0,0,20,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0833333333333333,0,0
2,2,1,60,0,0,0,0,0,0,2,0,19,0,0,33,0,0,1,1,1,2,0,0,0,0.04,0,0,0.04,0,0
2,2,3,34,0,0,0,0,0,0,4,0,11,0,0,15,0,0,1,1,1,0,0,0,0,0.1818181818181818,0,0,0.1428571428571428,0,0
2,2,1,43,0,0,0,0,0,0,0,0,6,0,0,29,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0454545454545454,0,0
2,2,3,39,0,0,0,0,0,0,0,0,16,0,0,15,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1428571428571428,0,0
2,2,1,34,0,0,0,0,0,0,0,0,10,0,0,16,0,0,1,1,1,0,0,0,0,0.0,0,0,0.125,0,0
4,3,2,47,0,0,0,0,0,0,0,0,20,0,0,19,0,0,1,1,1,0,0,0,0,0.0,0,0,1.0,0,0
2,2,1,45,0,0,0,0,0,0,0,0,22,0,0,15,0,0,1,1,1,2,0,0,0,0.0,0,0,0.125,0,0
2,2,1,26,0,0,0,0,0,0,0,0,1,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1111111111111111,0,0
2,2,5,45,0,0,0,0,0,0,4,0,23,0,0,14,0,0,1,1,1,1,0,0,0,0.1333333333333333,0,0,0.1666666666666666,0,0
2,2,1,24,0,0,0,0,0,0,0,0,1,0,0,15,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1428571428571428,0,0
3,2,2,41,0,0,0,0,0,0,5,1,16,0,0,18,0,0,1,1,1,0,0,0,0,0.1785714285714285,0,0,0.1,0,0
2,2,1,36,1,0,0,0,0,0,0,0,1,0,0,27,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0526315789473684,0,0
2,2,3,57,0,0,0,0,0,0,0,0,22,0,0,27,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0526315789473684,0,0
2,2,1,28,0,0,0,0,0,0,0,0,1,0,0,19,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0909090909090909,0,0
2,2,1,47,0,0,0,0,0,0,0,0,11,0,0,28,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0476190476190476,0,0
2,2,1,26,0,0,0,0,0,0,0,0,1,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1111111111111111,0,0
1,1,2,40,0,0,0,0,0,0,1,1,8,0,0,25,0,0,1,1,0,0,0,0,0,0.0303030303030303,0,0,0.0,0,0
2,2,1,36,0,0,0,0,0,0,0,0,7,0,0,21,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0769230769230769,0,0
2,2,1,34,1,0,0,0,0,0,0,0,5,0,0,21,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0714285714285714,0,0
2,1,2,43,1,0,0,0,0,0,1,0,16,0,0,19,0,0,1,1,1,1,0,0,0,0.0294117647058823,0,0,0.0,0,0
3,3,1,25,0,0,0,0,0,0,0,0,5,0,0,12,0,0,1,1,1,0,0,0,0,0.0,0,0,1.0,0,0
2,2,1,26,0,0,0,0,0,0,0,0,6,0,0,12,0,0,1,1,1,0,0,0,0,0.0,0,0,0.25,0,0
2,2,1,36,0,0,0,0,0,0,0,0,16,0,0,12,0,0,1,1,1,1,0,0,0,0.0,0,0,0.25,0,0
2,2,2,125,2,0,0,0,1,0,22,1,6,0,0,25,0,86,2,1,0,2,0,0,0,0.247191011235955,0,0,0.0625,0,0
2,2,2,43,0,0,0,0,0,0,0,0,17,0,0,18,0,0,1,1,1,1,0,0,0,0.0,0,0,0.0909090909090909,0,0
5,2,4,66,0,0,0,0,0,0,0,1,38,0,0,21,0,0,1,1,2,0,0,0,0,0.0,0,0,0.5,0,0
4,3,3,53,0,0,0,0,0,0,0,0,28,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.6666666666666666,0,0
2,2,5,112,0,0,0,0,0,0,14,0,76,0,0,15,0,12,1,0,2,0,0,0,0,0.1666666666666666,0,0,0.1666666666666666,0,0
3,2,1,42,0,0,0,0,0,0,0,0,12,0,0,22,0,0,1,1,1,0,0,0,0,0.0,0,0,0.0714285714285714,0,0
1,1,3,456,0,0,0,0,1,0,78,0,10,0,0,20,0,417,2,1,1,1,0,0,0,0.2154696132596685,0,0,0.0,0,0
2,2,4,49,0,0,0,0,0,0,0,0,23,0,0,18,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1,0,0
2,2,4,54,0,0,0,0,0,0,9,0,29,0,0,17,0,0,1,1,1,0,0,0,0,0.25,0,0,0.1111111111111111,0,0
3,2,1,36,0,0,0,0,0,0,0,0,11,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1111111111111111,0,0
6,5,2,81,3,0,0,0,0,0,1,0,21,0,0,52,0,0,1,1,1,3,0,0,0,0.0151515151515151,0,0,0.4444444444444444,1,0
3,2,1,35,0,0,0,0,0,0,0,0,10,0,0,17,0,0,1,1,1,0,0,0,0,0.0,0,0,0.1,0,0
2,2,3,125,0,0,0,0,0,0,3,0,94,0,0,23,0,0,1,1,2,10,0,0,0,0.0288461538461538,0,0,0.0666666666666666,0,0
